case_id,comment_count_ref,comment_count_effective,anger_count,anger_mean_score,anger_rate,high_anger_flag
v096,0,639,23,0.036292285749499546,0.03599374021909233,0
v097,0,499,41,0.08282474599466647,0.08216432865731463,0
v098,31,31,2,0.0655557065535592,0.06451612903225806,0
v099,105,82,15,0.18275522184584833,0.18292682926829268,0
v100,0,68,0,0.0003366268917007427,0.0,0
v101,0,930,79,0.08565479105964187,0.08494623655913978,0
v102,6,5,0,0.0028177517117001115,0.0,0
v103,0,46,1,0.02196983298231119,0.021739130434782608,0
v104,0,3916,676,0.17237913647277106,0.17262512768130744,0
v105,0,1952,212,0.10888521023765801,0.10860655737704918,0
v106,0,531,36,0.0672999383786073,0.06779661016949153,0
pre_final_107,1,1,0,0.00030706607503816485,0.0,0
v107,2456,2456,106,0.04338347237420251,0.04315960912052117,0
v108,0,3120,218,0.06996399888921936,0.06987179487179487,0
v109,0,77,3,0.039118794257266526,0.03896103896103896,0
v110,0,128,2,0.016067071174859393,0.015625,0
v111,295,295,58,0.19683754696345235,0.19661016949152543,0
v112,576,576,110,0.1926003077531517,0.1909722222222222,0
v113,0,513,28,0.05498903129292871,0.05458089668615984,0
v114,0,141,3,0.02173420805003637,0.02127659574468085,0
v115,0,17,0,0.0002869558276656522,0.0,0
v116,0,1319,71,0.05344017617363541,0.053828658074298714,0
v117,0,17,2,0.1221508911347722,0.11764705882352941,0
v118,0,432,54,0.12513963399108738,0.125,0
v119,0,592,24,0.04118819666597562,0.04054054054054054,0
v120,0,317,84,0.2644493161375176,0.26498422712933756,0
v121,116,70,2,0.02890298902514457,0.02857142857142857,0
v122,0,387,18,0.04755733808922116,0.046511627906976744,0
v123,0,36,1,0.02800524993613686,0.027777777777777776,0
v124,33,33,7,0.21191939773703009,0.21212121212121213,0
v125,0,36,0,0.00021687108508356486,0.0,0
v126,429,429,68,0.1601404360505718,0.1585081585081585,0
v127,0,49,2,0.04096773348223627,0.04081632653061224,0
v128,0,287,61,0.21323107921324494,0.21254355400696864,0
v129,0,886,134,0.1509961171940309,0.15124153498871332,0
v130,0,91,25,0.27440112909891545,0.27472527472527475,0
v131,0,24,0,0.00015377985073428135,0.0,0
v132,202,202,32,0.1587761221007625,0.15841584158415842,0
v133,0,459,94,0.20562585668063182,0.2047930283224401,0
v134,0,5,0,6.853824306745082e-05,0.0,0
v135,0,328,32,0.09825476122795208,0.0975609756097561,0
v136,8,8,1,0.12513713954194827,0.125,0
pre_final_138,1,1,0,0.00034656800562515855,0.0,0
v137,0,12,0,0.0001170726542720028,0.0,0
v138,0,37,0,0.00029438956089261164,0.0,0
v139,0,713,159,0.22295107980716689,0.22300140252454417,0
v140,0,24,1,0.04191593537507288,0.041666666666666664,0
v141,0,6,0,0.00017019880397128873,0.0,0
v142,7,7,0,0.0002708750117952669,0.0,0
v143,0,39,0,0.00023954372553793617,0.0,0
v144,26,26,1,0.03950479721410934,0.038461538461538464,0
v145,0,500,108,0.2157941453565436,0.216,0
v146,27,27,1,0.037740852596471086,0.037037037037037035,0
v147,0,4,0,0.00014568957158189733,0.0,0
v148,0,783,35,0.04565782292402486,0.04469987228607918,0
v149,381,372,87,0.23352213599324015,0.23387096774193547,0
v150,0,228,58,0.25486359823075316,0.2543859649122807,0
v151,0,83,5,0.055550461236174645,0.060240963855421686,0
v152,0,2673,627,0.23405930988128532,0.2345679012345679,0
v153,0,8,0,0.00018353573705098825,0.0,0
v154,299,266,14,0.05264714120594158,0.05263157894736842,0
pre_final_157,1,1,0,0.0007758917636238039,0.0,0
v155,0,101,1,0.010116438055072396,0.009900990099009901,0
v156,0,120,1,0.008988890872327222,0.008333333333333333,0
v157,0,12,1,0.08333376136761217,0.08333333333333333,0
v158,0,4,0,0.0001254751823580591,0.0,0
v159,0,663,87,0.13086425203665916,0.13122171945701358,0
v160,0,67,4,0.0592268545610818,0.05970149253731343,0
v161,0,17,0,0.0002485401350628201,0.0,0
v162,0,1683,158,0.09540989343608267,0.09387997623291741,0
pre_final_166,0,1,0,8.635262202005833e-05,0.0,0
v163,0,4050,656,0.16266036035199014,0.16197530864197532,0
v164,0,386,110,0.28428662754505746,0.2849740932642487,0
v165,0,57,4,0.07017821639920728,0.07017543859649122,0
v166,11,11,0,0.0004162484447905709,0.0,0
v167,0,503,47,0.09382137192576406,0.09343936381709742,0
v168,0,2933,398,0.1358141949870301,0.13569723832253666,0
v169,0,57,0,0.00017008195496409347,0.0,0
v170,0,187,8,0.042910884326681206,0.0427807486631016,0
v171,0,5019,947,0.18879017216471733,0.18868300458258616,0
v172,0,63,0,0.0004999202310933643,0.0,0
v173,0,340,96,0.28216767339855486,0.2823529411764706,0
v174,0,22,1,0.045550144858266736,0.045454545454545456,0
v175,0,493,17,0.03550500846683092,0.034482758620689655,0
v176,0,499,55,0.11107260083956941,0.11022044088176353,0
v177,0,623,79,0.12684151606006425,0.12680577849117175,0
v178,0,4038,475,0.11769871408105805,0.11763249133234274,0
v179,0,223,5,0.022539314249030058,0.02242152466367713,0
v180,0,919,102,0.11090940547049377,0.11099020674646355,0
